student,school,sex,age,Medu,Fedu,Mjob,Fjob,guardian,famsup
1,GP,F,18,4,4,at_home,teacher,mother,no
2,GP,F,17,1,1,at_home,other,father,yes
3,GP,F,15,1,1,at_home,other,mother,no
4,GP,F,15,4,2,health,services,mother,yes
5,GP,F,16,3,3,other,other,father,yes
6,GP,M,16,4,3,services,other,mother,yes
7,GP,M,16,2,2,other,other,mother,no
8,GP,F,17,4,4,other,teacher,mother,yes
9,GP,M,15,3,2,services,other,mother,yes
10,GP,M,15,3,4,other,other,mother,yes
11,GP,F,15,4,4,teacher,health,mother,yes
12,GP,F,15,2,1,services,other,father,yes
13,GP,M,15,4,4,health,services,father,yes
14,GP,M,15,4,3,teacher,other,mother,yes
15,GP,M,15,2,2,other,other,other,yes
16,GP,F,16,4,4,health,other,mother,yes
17,GP,F,16,4,4,services,services,mother,yes
18,GP,F,16,3,3,other,other,mother,yes
19,GP,M,17,3,2,services,services,mother,yes
20,GP,M,16,4,3,health,other,father,no
21,GP,M,15,4,3,teacher,other,mother,no
22,GP,M,15,4,4,health,health,father,yes
23,GP,M,16,4,2,teacher,other,mother,no
24,GP,M,16,2,2,other,other,mother,yes
25,GP,F,15,2,4,services,health,mother,yes
26,GP,F,16,2,2,services,services,mother,yes
27,GP,M,15,2,2,other,other,mother,yes
28,GP,M,15,4,2,health,services,mother,no
29,GP,M,16,3,4,services,other,mother,yes
30,GP,M,16,4,4,teacher,teacher,mother,yes
31,GP,M,15,4,4,health,services,mother,yes
32,GP,M,15,4,4,services,services,mother,yes
33,GP,M,15,4,3,teacher,at_home,mother,yes
34,GP,M,15,3,3,other,other,mother,no
35,GP,M,16,3,2,other,other,mother,yes
36,GP,F,15,2,3,other,other,father,yes
37,GP,M,15,4,3,teacher,services,mother,yes
38,GP,M,16,4,4,other,teacher,mother,yes
39,GP,F,15,3,4,services,health,mother,yes
40,GP,F,15,2,2,at_home,other,mother,yes
41,GP,F,16,2,2,other,other,mother,yes
42,GP,M,15,4,4,teacher,other,other,yes
43,GP,M,15,4,4,services,teacher,father,yes
44,GP,M,15,2,2,services,services,father,yes
45,GP,F,16,2,2,other,at_home,father,no
46,GP,F,15,4,3,other,other,mother,yes
47,GP,F,16,3,3,other,services,mother,yes
48,GP,M,16,4,3,health,services,mother,no
49,GP,M,15,4,2,teacher,other,mother,yes
50,GP,F,15,4,4,services,teacher,father,yes
51,GP,F,16,2,2,services,services,mother,yes
52,GP,F,15,4,2,health,other,mother,yes
53,GP,M,15,4,2,health,health,father,no
54,GP,F,15,4,4,services,services,mother,yes
55,GP,F,15,3,3,other,other,mother,no
56,GP,F,16,2,1,other,other,mother,no
57,GP,F,15,4,3,services,services,mother,yes
58,GP,M,15,4,4,teacher,health,mother,yes
59,GP,M,15,1,2,other,at_home,father,yes
