student,age,studytime,activities,internet,romantic,freetime,goout
1,18,2,no,no,no,3,4
2,17,2,no,yes,no,3,3
3,15,2,no,yes,no,3,2
4,15,3,yes,yes,yes,2,2
5,16,2,no,no,no,3,2
6,16,2,yes,yes,no,4,2
7,16,2,no,yes,no,4,4
8,17,2,no,no,no,1,4
9,15,2,no,yes,no,2,2
10,15,2,yes,yes,no,5,1
11,15,2,no,yes,no,3,3
12,15,3,yes,yes,no,2,2
13,15,1,yes,yes,no,3,3
14,15,2,no,yes,no,4,3
15,15,3,no,yes,yes,5,2
16,16,1,no,yes,no,4,4
17,16,3,yes,yes,no,2,3
18,16,2,yes,no,no,3,2
19,17,1,yes,yes,no,5,5
20,16,1,yes,yes,no,1,3
21,15,2,no,yes,no,4,1
22,15,1,no,yes,no,4,2
23,16,2,yes,yes,no,5,1
24,16,2,yes,yes,no,4,4
25,15,3,yes,yes,no,3,2
26,16,1,no,yes,no,2,2
27,15,1,no,yes,no,2,2
28,15,1,no,yes,no,2,4
29,16,2,yes,yes,no,3,3
30,16,2,yes,yes,yes,4,5
31,15,2,no,yes,no,4,2
32,15,2,yes,yes,no,3,1
33,15,2,yes,yes,yes,5,2
34,15,2,yes,yes,no,3,2
35,16,1,no,yes,no,4,3
36,15,1,yes,no,no,5,1
37,15,3,yes,yes,no,4,3
38,16,3,yes,yes,yes,4,3
39,15,3,yes,yes,no,3,2
40,15,1,yes,no,no,3,1
41,16,2,yes,yes,yes,3,3
42,15,1,no,yes,yes,4,3
43,15,2,yes,yes,no,3,3
44,15,1,no,yes,no,4,1
45,16,2,yes,yes,no,3,3
46,15,2,yes,yes,yes,2,2
47,16,2,no,yes,no,3,5
48,16,4,yes,yes,no,2,2
49,15,2,no,no,no,3,3
50,15,2,yes,yes,no,4,4
51,16,2,no,yes,no,3,3
52,15,2,no,yes,no,3,3
53,15,1,no,no,no,5,5
54,15,1,no,yes,no,3,4
55,15,1,no,yes,no,3,4
56,16,2,yes,yes,yes,3,4
57,15,2,yes,yes,no,3,2
58,15,2,yes,no,no,2,2
59,15,2,yes,yes,no,3,2
60,16,2,no,yes,no,2,3
61,16,2,yes,no,no,4,4
62,16,1,yes,yes,yes,5,5
63,16,2,yes,yes,no,4,3
64,16,3,yes,yes,no,4,4
65,15,2,yes,yes,yes,4,4
66,16,2,yes,yes,no,4,3
67,15,4,yes,yes,yes,3,3
68,16,4,no,yes,no,3,3
69,15,2,no,yes,no,1,3
70,15,4,no,yes,no,4,2
71,16,4,no,yes,no,3,2
72,15,4,no,yes,no,3,3
73,15,2,no,yes,yes,3,4
74,16,1,yes,no,no,3,2
75,16,2,yes,yes,no,3,3
76,15,2,yes,yes,no,3,3
77,15,4,yes,yes,no,4,3
78,16,4,no,yes,yes,2,3
79,17,1,yes,yes,no,5,1
80,16,2,no,yes,no,4,3
81,15,1,yes,yes,yes,2,2
82,15,3,no,yes,no,3,2
83,15,2,no,yes,no,4,4
84,15,2,yes,yes,no,3,3
85,15,2,yes,yes,no,3,2
86,15,2,no,yes,yes,4,4
87,16,2,no,no,no,3,4
88,15,3,yes,yes,no,3,3
89,16,2,yes,yes,no,4,2
90,16,2,no,no,no,1,3
91,16,3,no,yes,yes,3,3
92,15,1,yes,yes,no,5,5
93,16,2,no,no,no,3,3
94,16,2,yes,yes,no,3,3
95,15,4,yes,yes,no,3,4
96,15,4,yes,yes,no,1,2
97,16,1,yes,yes,no,3,3
98,16,2,no,no,yes,3,5
99,16,1,yes,yes,no,3,4
100,16,3,no,yes,no,3,5
101,16,1,yes,yes,no,5,5
102,16,3,yes,yes,yes,4,3
103,15,1,yes,yes,no,3,3
104,15,2,no,yes,no,3,5
105,15,2,yes,yes,no,4,4
106,15,4,no,no,no,3,3
107,15,4,no,yes,no,1,2
108,16,3,yes,yes,no,3,3
109,15,4,yes,yes,yes,3,5
110,16,3,yes,yes,yes,4,5
111,15,1,yes,yes,no,5,3
112,16,3,yes,yes,no,1,2
113,16,2,yes,yes,no,1,2
114,15,1,no,yes,no,5,2
115,15,2,yes,yes,yes,4,2
116,16,2,yes,yes,no,4,4
117,15,2,yes,no,no,4,3
118,16,1,yes,yes,no,4,2
119,17,2,yes,yes,no,2,4
120,15,1,no,yes,no,4,3
121,15,2,no,yes,no,2,3
122,15,4,yes,yes,no,5,4
123,16,2,yes,yes,yes,2,2
124,16,1,yes,yes,no,4,4
125,16,2,no,yes,yes,4,4
126,15,1,no,yes,no,5,5
127,15,2,yes,yes,yes,3,2
128,19,2,no,no,no,4,2
129,18,1,yes,yes,no,3,3
130,16,1,yes,yes,no,5,5
131,15,3,no,yes,yes,2,2
132,15,1,yes,yes,yes,3,3
133,17,1,no,yes,yes,4,4
134,16,1,no,yes,no,2,1
135,15,2,no,no,yes,3,3
136,15,3,yes,yes,yes,3,3
137,17,2,no,no,no,4,5
138,16,1,yes,yes,yes,3,2
139,16,2,no,no,yes,4,4
140,15,1,yes,yes,no,3,2
141,15,4,no,yes,no,2,2
142,16,1,yes,yes,no,3,3
143,15,3,yes,yes,no,2,2
144,16,1,no,yes,no,4,4
145,17,1,no,yes,no,4,5
146,15,2,no,yes,no,4,2
147,15,2,no,yes,no,3,2
148,15,2,no,yes,no,3,2
149,16,1,no,yes,yes,3,2
150,15,1,no,yes,no,5,5
151,18,1,no,yes,yes,3,5
152,16,1,yes,no,yes,4,4
153,15,3,yes,yes,yes,2,1
154,19,1,no,yes,yes,5,4
155,17,1,no,no,yes,2,1
156,15,2,yes,no,no,4,4
157,17,1,no,no,no,2,2
158,18,1,yes,no,no,2,5
159,16,1,no,no,no,2,2
160,16,2,no,yes,yes,5,5
161,17,1,yes,yes,yes,3,2
162,15,2,no,yes,yes,4,4
163,16,1,yes,no,no,4,4
164,17,1,no,yes,no,3,3
165,17,2,yes,no,yes,3,5
166,16,1,yes,no,no,5,2
167,16,2,no,yes,no,3,5
168,16,2,no,yes,yes,2,3
169,16,2,no,yes,no,1,5
170,16,2,no,yes,yes,4,2
171,16,1,yes,yes,no,4,5
172,16,2,yes,yes,yes,3,2
173,17,2,yes,yes,no,4,4
174,16,2,yes,yes,yes,3,5
175,16,2,yes,yes,no,4,5
176,17,2,yes,yes,no,4,4
177,16,2,yes,yes,no,4,4
178,17,2,yes,yes,no,3,4
179,16,1,yes,yes,yes,3,3
180,17,2,yes,yes,yes,2,3
181,16,2,yes,yes,no,4,3
182,16,2,yes,yes,yes,2,3
183,17,2,yes,no,no,4,2
184,17,2,yes,yes,yes,3,3
185,16,2,no,yes,no,2,2
186,17,2,yes,yes,yes,3,4
187,16,1,yes,yes,yes,3,3
188,16,2,yes,yes,yes,2,3
189,17,2,no,yes,yes,3,3
190,17,2,no,no,no,1,3
