school,gender,age,household size,study time,financial support,activities,internet,significant other,family relationship,free time,social activities,weekday drinker,weekend drinker,health,absences
GP,F,18,GT3,2,no,no,no,no,4,3,4,1,1,3,6
GP,F,17,GT3,2,yes,no,yes,no,5,3,3,1,1,3,4
GP,F,15,LE3,2,no,no,yes,no,4,3,2,2,3,3,10
GP,F,15,GT3,3,yes,yes,yes,yes,3,2,2,1,1,5,2
GP,F,16,GT3,2,yes,no,no,no,4,3,2,1,2,5,4
GP,M,16,LE3,2,yes,yes,yes,no,5,4,2,1,2,5,10
GP,M,16,LE3,2,no,no,yes,no,4,4,4,1,1,3,0
GP,F,17,GT3,2,yes,no,no,no,4,1,4,1,1,1,6
GP,M,15,LE3,2,yes,no,yes,no,4,2,2,1,1,1,0
GP,M,15,GT3,2,yes,yes,yes,no,5,5,1,1,1,5,0
GP,F,15,GT3,2,yes,no,yes,no,3,3,3,1,2,2,0
GP,F,15,GT3,3,yes,yes,yes,no,5,2,2,1,1,4,4
GP,M,15,LE3,1,yes,yes,yes,no,4,3,3,1,3,5,2
GP,M,15,GT3,2,yes,no,yes,no,5,4,3,1,2,3,2
GP,M,15,GT3,3,yes,no,yes,yes,4,5,2,1,1,3,0
GP,F,16,GT3,1,yes,no,yes,no,4,4,4,1,2,2,4
GP,F,16,GT3,3,yes,yes,yes,no,3,2,3,1,2,2,6
GP,F,16,GT3,2,yes,yes,no,no,5,3,2,1,1,4,4
GP,M,17,GT3,1,yes,yes,yes,no,5,5,5,2,4,5,16
GP,M,16,LE3,1,no,yes,yes,no,3,1,3,1,3,5,4
GP,M,15,GT3,2,no,no,yes,no,4,4,1,1,1,1,0
GP,M,15,GT3,1,yes,no,yes,no,5,4,2,1,1,5,0
GP,M,16,LE3,2,no,yes,yes,no,4,5,1,1,3,5,2
GP,M,16,LE3,2,yes,yes,yes,no,5,4,4,2,4,5,0
GP,F,15,GT3,3,yes,yes,yes,no,4,3,2,1,1,5,2
GP,F,16,GT3,1,yes,no,yes,no,1,2,2,1,3,5,14
GP,M,15,GT3,1,yes,no,yes,no,4,2,2,1,2,5,2
GP,M,15,GT3,1,no,no,yes,no,2,2,4,2,4,1,4
GP,M,16,LE3,2,yes,yes,yes,no,5,3,3,1,1,5,4
GP,M,16,GT3,2,yes,yes,yes,yes,4,4,5,5,5,5,16
GP,M,15,GT3,2,yes,no,yes,no,5,4,2,3,4,5,0
GP,M,15,GT3,2,yes,yes,yes,no,4,3,1,1,1,5,0
GP,M,15,GT3,2,yes,yes,yes,yes,4,5,2,1,1,5,0
GP,M,15,LE3,2,no,yes,yes,no,5,3,2,1,1,2,0
