id,school,gender,age,home address,parents cohabitation,moms education,dads education,moms job,dads job,choice reason,guardian,travel time,nursery education,internet access,higher education,significant other,household size,family relationship,free time,social activities,study time,first periods grade,second periods grade,third periods grade,failures,absences,health,weekday drinking,weekend drinking,heavy drinking
1,0,1,18,1,0,4,4,0,2,0,0,2,1,0,1,0,1,4,3,4,2,5,6,6,0,6,3,1,1,0
2,0,1,17,1,1,1,1,0,4,0,1,1,0,1,1,0,1,5,3,3,2,5,5,6,0,4,3,1,1,0
3,0,1,15,1,1,1,1,0,4,4,0,1,1,1,1,0,0,4,3,2,2,7,8,10,3,10,3,2,3,1
4,0,1,15,1,1,4,2,1,3,1,0,1,1,1,1,1,1,3,2,2,3,15,14,15,0,2,5,1,1,0
5,0,1,16,1,1,3,3,4,4,1,1,1,1,0,1,0,1,4,3,2,2,6,10,10,0,4,5,1,2,0
6,0,0,16,1,1,4,3,3,4,3,0,1,1,1,1,0,0,5,4,2,2,15,15,15,0,10,5,1,2,0
7,0,0,16,1,1,2,2,4,4,1,0,1,1,1,1,0,0,4,4,4,2,12,12,11,0,0,3,1,1,0
8,0,1,17,1,0,4,4,4,2,1,0,2,1,0,1,0,1,4,1,4,2,6,5,6,0,6,1,1,1,0
9,0,0,15,1,0,3,2,3,4,1,0,1,1,1,1,0,0,4,2,2,2,16,18,19,0,0,1,1,1,0
10,0,0,15,1,1,3,4,4,4,1,0,1,1,1,1,0,1,5,5,1,2,14,15,15,0,0,5,1,1,0
11,0,1,15,1,1,4,4,2,1,3,0,1,1,1,1,0,1,3,3,3,2,10,8,9,0,0,2,1,2,0
12,0,1,15,1,1,2,1,3,4,3,1,3,1,1,1,0,1,5,2,2,3,10,12,12,0,4,4,1,1,0
13,0,0,15,1,1,4,4,1,3,0,1,1,1,1,1,0,0,4,3,3,1,14,14,14,0,2,5,1,3,1
14,0,0,15,1,1,4,3,2,4,0,0,2,1,1,1,0,1,5,4,3,2,10,10,11,0,2,3,1,2,0
15,0,0,15,1,0,2,2,4,4,1,4,1,1,1,1,1,1,4,5,2,3,14,16,16,0,0,3,1,1,0
16,0,1,16,1,1,4,4,1,4,1,0,1,1,1,1,0,1,4,4,4,1,14,14,14,0,4,2,1,2,0
17,0,1,16,1,1,4,4,3,3,3,0,1,1,1,1,0,1,3,2,3,3,13,14,14,0,6,2,1,2,0
18,0,1,16,1,1,3,3,4,4,3,0,3,1,0,1,0,1,5,3,2,2,8,10,10,0,4,4,1,1,0
19,0,0,17,1,1,3,2,3,3,0,0,1,1,1,1,0,1,5,5,5,1,6,5,5,3,16,5,2,4,1
20,0,0,16,1,1,4,3,1,4,1,1,1,1,1,1,0,0,3,1,3,1,8,10,10,0,4,5,1,3,1
21,0,0,15,1,1,4,3,2,4,3,0,1,1,1,1,0,1,4,4,1,2,13,14,15,0,0,1,1,1,0
22,0,0,15,1,1,4,4,1,1,4,1,1,1,1,1,0,1,5,4,2,1,12,15,15,0,0,5,1,1,0
23,0,0,16,1,1,4,2,2,4,0,0,1,1,1,1,0,0,4,5,1,2,15,15,16,0,2,5,1,3,1
24,0,0,16,1,1,2,2,4,4,3,0,2,1,1,1,0,0,5,4,4,2,13,13,12,0,0,5,2,4,1
25,0,1,15,0,1,2,4,3,1,0,0,1,1,1,1,0,1,4,3,2,3,10,9,8,0,2,5,1,1,0
26,0,1,16,1,1,2,2,3,3,1,0,1,0,1,1,0,1,1,2,2,1,6,9,8,2,14,5,1,3,1
27,0,0,15,1,1,2,2,4,4,1,0,1,1,1,1,0,1,4,2,2,1,12,12,11,0,2,5,1,2,0
28,0,0,15,1,1,4,2,1,3,4,0,1,1,1,1,0,1,2,2,4,1,15,16,15,0,4,1,2,4,1
29,0,0,16,1,0,3,4,3,4,1,0,1,1,1,1,0,0,5,3,3,2,11,11,11,0,4,5,1,1,0
30,0,0,16,1,1,4,4,2,2,1,0,1,1,1,1,1,1,4,4,5,2,10,12,11,0,16,5,5,5,1
31,0,0,15,1,1,4,4,1,3,1,0,1,0,1,1,0,1,5,4,2,2,9,11,12,0,0,5,3,4,1
32,0,0,15,1,1,4,4,3,3,3,0,2,1,1,1,0,1,4,3,1,2,17,16,17,0,0,5,1,1,0
33,0,0,15,0,1,4,3,2,0,0,0,1,1,1,1,1,1,4,5,2,2,17,16,16,0,0,5,1,1,0
34,0,0,15,1,1,3,3,4,4,0,0,1,0,1,1,0,0,5,3,2,2,8,10,12,0,0,2,1,1,0
35,0,0,16,1,1,3,2,4,4,1,0,1,0,1,1,0,1,5,4,3,1,12,14,15,0,0,5,1,1,0
36,0,1,15,1,1,2,3,4,4,4,1,2,1,0,1,0,1,3,5,1,1,8,7,6,0,0,5,1,1,0
37,0,0,15,1,1,4,3,2,3,1,0,1,1,1,1,0,0,5,4,3,3,15,16,18,0,2,4,1,1,0
38,0,0,16,0,0,4,4,4,2,3,0,2,1,1,1,1,1,2,4,3,3,15,16,15,0,7,5,1,1,0
39,0,1,15,0,1,3,4,3,1,0,0,1,1,1,1,0,1,4,3,2,3,12,12,11,0,2,5,1,1,0
40,0,1,15,0,1,2,2,0,4,3,0,1,1,0,1,0,1,4,3,1,1,14,13,13,0,8,2,1,1,0
41,0,1,16,1,1,2,2,4,4,1,0,2,0,1,1,1,0,3,3,3,2,7,10,11,1,25,3,1,2,0
42,0,0,15,1,1,4,4,2,4,1,4,1,0,1,1,1,0,5,4,3,1,12,12,12,0,8,5,2,4,1
43,0,0,15,1,1,4,4,3,2,0,1,1,1,1,1,0,1,4,3,3,2,19,18,18,0,2,5,1,1,0
44,0,0,15,1,1,2,2,3,3,0,1,1,1,1,1,0,1,5,4,1,1,8,8,11,0,0,1,1,1,0
45,0,1,16,1,1,2,2,4,0,0,1,2,1,1,1,0,0,4,3,3,2,10,10,9,1,14,5,2,2,1
46,0,1,15,1,0,4,3,4,4,0,0,1,1,1,1,1,0,5,2,2,2,8,8,6,0,8,5,1,1,0
47,0,1,16,1,0,3,3,4,3,1,0,1,1,1,1,0,0,2,3,5,2,11,12,11,0,12,3,1,4,1
48,0,0,16,1,1,4,3,1,3,3,0,1,1,1,1,0,1,4,2,2,4,19,19,20,0,4,2,1,1,0
49,0,0,15,1,1,4,2,2,4,1,0,1,1,0,1,0,1,4,3,3,2,15,15,14,0,2,5,2,2,1
50,0,1,15,1,1,4,4,3,2,4,1,1,0,1,1,0,1,4,4,4,2,7,7,7,1,2,3,1,1,0
51,0,1,16,1,1,2,2,3,3,0,0,3,1,1,1,0,0,4,3,3,2,12,13,13,0,2,4,2,3,1
52,0,1,15,1,1,4,2,1,4,4,0,1,1,1,1,0,0,4,3,3,2,11,13,13,0,2,5,1,1,0
53,0,0,15,1,0,4,2,1,1,4,1,2,1,0,1,0,0,5,5,5,1,11,11,10,1,6,5,3,4,1
54,0,1,15,1,1,4,4,3,3,0,0,1,1,1,1,0,1,3,3,4,1,8,10,11,0,0,5,2,3,1
55,0,1,15,1,0,3,3,4,4,4,0,1,1,1,1,0,0,5,3,4,1,10,13,13,0,6,1,4,4,1
56,0,1,16,1,0,2,1,4,4,4,0,1,1,1,1,1,1,5,3,4,2,8,9,10,0,8,2,1,1,0
57,0,1,15,1,0,4,3,3,3,3,0,1,1,1,1,0,1,4,3,2,2,14,15,15,0,0,1,1,1,0
58,0,0,15,1,1,4,4,2,1,3,0,1,1,0,1,0,1,3,2,2,2,14,15,15,0,4,5,1,1,0
59,0,0,15,1,1,1,2,4,0,1,1,1,1,1,1,0,0,4,3,2,2,9,10,9,0,2,5,1,1,0
60,0,1,16,1,1,4,2,3,4,0,0,1,1,1,1,0,1,4,2,3,2,15,16,16,0,2,5,1,1,0
61,0,1,16,0,1,4,4,1,2,4,0,1,1,0,1,0,1,2,4,4,2,10,11,11,0,6,4,2,3,1
62,0,1,16,1,1,1,1,3,3,0,1,4,0,1,1,1,1,5,5,5,1,10,8,11,0,6,5,5,5,1
