id,school,gender,age,home address,parents cohabitation,moms education,dads education,moms job,dads job,choice reason,guardian,travel time,nursery education,internet access,higher education,significant other,household size,family relationship,free time,social activities,study time,first periods grade,second periods grade,third periods grade,failures,absences,health,weekday drinking,weekend drinking,heavy drinking
1,GP,F,18,U,A,4,4,at_home,teacher,course,mother,2,yes,no,yes,no,GT3,4,3,4,2,5,6,6,0,6,3,1,1,no
2,GP,F,17,U,T,1,1,at_home,other,course,father,1,no,yes,yes,no,GT3,5,3,3,2,5,5,6,0,4,3,1,1,no
3,GP,F,15,U,T,1,1,at_home,other,other,mother,1,yes,yes,yes,no,LE3,4,3,2,2,7,8,10,3,10,3,2,3,yes
4,GP,F,15,U,T,4,2,health,services,home,mother,1,yes,yes,yes,yes,GT3,3,2,2,3,15,14,15,0,2,5,1,1,no
5,GP,F,16,U,T,3,3,other,other,home,father,1,yes,no,yes,no,GT3,4,3,2,2,6,10,10,0,4,5,1,2,no
6,GP,M,16,U,T,4,3,services,other,reputation,mother,1,yes,yes,yes,no,LE3,5,4,2,2,15,15,15,0,10,5,1,2,no
7,GP,M,16,U,T,2,2,other,other,home,mother,1,yes,yes,yes,no,LE3,4,4,4,2,12,12,11,0,0,3,1,1,no
8,GP,F,17,U,A,4,4,other,teacher,home,mother,2,yes,no,yes,no,GT3,4,1,4,2,6,5,6,0,6,1,1,1,no
9,GP,M,15,U,A,3,2,services,other,home,mother,1,yes,yes,yes,no,LE3,4,2,2,2,16,18,19,0,0,1,1,1,no
10,GP,M,15,U,T,3,4,other,other,home,mother,1,yes,yes,yes,no,GT3,5,5,1,2,14,15,15,0,0,5,1,1,no
11,GP,F,15,U,T,4,4,teacher,health,reputation,mother,1,yes,yes,yes,no,GT3,3,3,3,2,10,8,9,0,0,2,1,2,no
12,GP,F,15,U,T,2,1,services,other,reputation,father,3,yes,yes,yes,no,GT3,5,2,2,3,10,12,12,0,4,4,1,1,no
13,GP,M,15,U,T,4,4,health,services,course,father,1,yes,yes,yes,no,LE3,4,3,3,1,14,14,14,0,2,5,1,3,yes
14,GP,M,15,U,T,4,3,teacher,other,course,mother,2,yes,yes,yes,no,GT3,5,4,3,2,10,10,11,0,2,3,1,2,no
15,GP,M,15,U,A,2,2,other,other,home,other,1,yes,yes,yes,yes,GT3,4,5,2,3,14,16,16,0,0,3,1,1,no
16,GP,F,16,U,T,4,4,health,other,home,mother,1,yes,yes,yes,no,GT3,4,4,4,1,14,14,14,0,4,2,1,2,no
17,GP,F,16,U,T,4,4,services,services,reputation,mother,1,yes,yes,yes,no,GT3,3,2,3,3,13,14,14,0,6,2,1,2,no
18,GP,F,16,U,T,3,3,other,other,reputation,mother,3,yes,no,yes,no,GT3,5,3,2,2,8,10,10,0,4,4,1,1,no
19,GP,M,17,U,T,3,2,services,services,course,mother,1,yes,yes,yes,no,GT3,5,5,5,1,6,5,5,3,16,5,2,4,yes
20,GP,M,16,U,T,4,3,health,other,home,father,1,yes,yes,yes,no,LE3,3,1,3,1,8,10,10,0,4,5,1,3,yes
21,GP,M,15,U,T,4,3,teacher,other,reputation,mother,1,yes,yes,yes,no,GT3,4,4,1,2,13,14,15,0,0,1,1,1,no
22,GP,M,15,U,T,4,4,health,health,other,father,1,yes,yes,yes,no,GT3,5,4,2,1,12,15,15,0,0,5,1,1,no
23,GP,M,16,U,T,4,2,teacher,other,course,mother,1,yes,yes,yes,no,LE3,4,5,1,2,15,15,16,0,2,5,1,3,yes
24,GP,M,16,U,T,2,2,other,other,reputation,mother,2,yes,yes,yes,no,LE3,5,4,4,2,13,13,12,0,0,5,2,4,yes
25,GP,F,15,R,T,2,4,services,health,course,mother,1,yes,yes,yes,no,GT3,4,3,2,3,10,9,8,0,2,5,1,1,no
26,GP,F,16,U,T,2,2,services,services,home,mother,1,no,yes,yes,no,GT3,1,2,2,1,6,9,8,2,14,5,1,3,yes
27,GP,M,15,U,T,2,2,other,other,home,mother,1,yes,yes,yes,no,GT3,4,2,2,1,12,12,11,0,2,5,1,2,no
28,GP,M,15,U,T,4,2,health,services,other,mother,1,yes,yes,yes,no,GT3,2,2,4,1,15,16,15,0,4,1,2,4,yes
29,GP,M,16,U,A,3,4,services,other,home,mother,1,yes,yes,yes,no,LE3,5,3,3,2,11,11,11,0,4,5,1,1,no
30,GP,M,16,U,T,4,4,teacher,teacher,home,mother,1,yes,yes,yes,yes,GT3,4,4,5,2,10,12,11,0,16,5,5,5,yes
31,GP,M,15,U,T,4,4,health,services,home,mother,1,no,yes,yes,no,GT3,5,4,2,2,9,11,12,0,0,5,3,4,yes
32,GP,M,15,U,T,4,4,services,services,reputation,mother,2,yes,yes,yes,no,GT3,4,3,1,2,17,16,17,0,0,5,1,1,no
33,GP,M,15,R,T,4,3,teacher,at_home,course,mother,1,yes,yes,yes,yes,GT3,4,5,2,2,17,16,16,0,0,5,1,1,no
34,GP,M,15,U,T,3,3,other,other,course,mother,1,no,yes,yes,no,LE3,5,3,2,2,8,10,12,0,0,2,1,1,no
35,GP,M,16,U,T,3,2,other,other,home,mother,1,no,yes,yes,no,GT3,5,4,3,1,12,14,15,0,0,5,1,1,no
36,GP,F,15,U,T,2,3,other,other,other,father,2,yes,no,yes,no,GT3,3,5,1,1,8,7,6,0,0,5,1,1,no
37,GP,M,15,U,T,4,3,teacher,services,home,mother,1,yes,yes,yes,no,LE3,5,4,3,3,15,16,18,0,2,4,1,1,no
38,GP,M,16,R,A,4,4,other,teacher,reputation,mother,2,yes,yes,yes,yes,GT3,2,4,3,3,15,16,15,0,7,5,1,1,no
39,GP,F,15,R,T,3,4,services,health,course,mother,1,yes,yes,yes,no,GT3,4,3,2,3,12,12,11,0,2,5,1,1,no
40,GP,F,15,R,T,2,2,at_home,other,reputation,mother,1,yes,no,yes,no,GT3,4,3,1,1,14,13,13,0,8,2,1,1,no
41,GP,F,16,U,T,2,2,other,other,home,mother,2,no,yes,yes,yes,LE3,3,3,3,2,7,10,11,1,25,3,1,2,no
42,GP,M,15,U,T,4,4,teacher,other,home,other,1,no,yes,yes,yes,LE3,5,4,3,1,12,12,12,0,8,5,2,4,yes
43,GP,M,15,U,T,4,4,services,teacher,course,father,1,yes,yes,yes,no,GT3,4,3,3,2,19,18,18,0,2,5,1,1,no
44,GP,M,15,U,T,2,2,services,services,course,father,1,yes,yes,yes,no,GT3,5,4,1,1,8,8,11,0,0,1,1,1,no
45,GP,F,16,U,T,2,2,other,at_home,course,father,2,yes,yes,yes,no,LE3,4,3,3,2,10,10,9,1,14,5,2,2,yes
46,GP,F,15,U,A,4,3,other,other,course,mother,1,yes,yes,yes,yes,LE3,5,2,2,2,8,8,6,0,8,5,1,1,no
47,GP,F,16,U,A,3,3,other,services,home,mother,1,yes,yes,yes,no,LE3,2,3,5,2,11,12,11,0,12,3,1,4,yes
