id,gender,age,significant other,household size,family relationship,free time,social activities,study time,failures,absences,health,weekday drinker,weekend drinker,drinker
1,1,18,0,1,4,3,4,2,0,6,3,1,1,0
2,1,17,0,1,5,3,3,2,0,4,3,1,1,0
3,1,15,0,0,4,3,2,2,3,10,3,2,3,1
4,1,15,1,1,3,2,2,3,0,2,5,1,1,0
5,1,16,0,1,4,3,2,2,0,4,5,1,2,0
6,0,16,0,0,5,4,2,2,0,10,5,1,2,0
7,0,16,0,0,4,4,4,2,0,0,3,1,1,0
8,1,17,0,1,4,1,4,2,0,6,1,1,1,0
9,0,15,0,0,4,2,2,2,0,0,1,1,1,0
10,0,15,0,1,5,5,1,2,0,0,5,1,1,0
11,1,15,0,1,3,3,3,2,0,0,2,1,2,0
12,1,15,0,1,5,2,2,3,0,4,4,1,1,0
13,0,15,0,0,4,3,3,1,0,2,5,1,3,1
14,0,15,0,1,5,4,3,2,0,2,3,1,2,0
15,0,15,1,1,4,5,2,3,0,0,3,1,1,0
16,1,16,0,1,4,4,4,1,0,4,2,1,2,0
17,1,16,0,1,3,2,3,3,0,6,2,1,2,0
18,1,16,0,1,5,3,2,2,0,4,4,1,1,0
19,0,17,0,1,5,5,5,1,3,16,5,2,4,1
20,0,16,0,0,3,1,3,1,0,4,5,1,3,1
21,0,15,0,1,4,4,1,2,0,0,1,1,1,0
22,0,15,0,1,5,4,2,1,0,0,5,1,1,0
23,0,16,0,0,4,5,1,2,0,2,5,1,3,1
24,0,16,0,0,5,4,4,2,0,0,5,2,4,1
25,1,15,0,1,4,3,2,3,0,2,5,1,1,0
26,1,16,0,1,1,2,2,1,2,14,5,1,3,1
27,0,15,0,1,4,2,2,1,0,2,5,1,2,0
28,0,15,0,1,2,2,4,1,0,4,1,2,4,1
29,0,16,0,0,5,3,3,2,0,4,5,1,1,0
30,0,16,1,1,4,4,5,2,0,16,5,5,5,1
31,0,15,0,1,5,4,2,2,0,0,5,3,4,1
32,0,15,0,1,4,3,1,2,0,0,5,1,1,0
33,0,15,1,1,4,5,2,2,0,0,5,1,1,0
34,0,15,0,0,5,3,2,2,0,0,2,1,1,0
35,0,16,0,1,5,4,3,1,0,0,5,1,1,0
36,1,15,0,1,3,5,1,1,0,0,5,1,1,0
37,0,15,0,0,5,4,3,3,0,2,4,1,1,0
38,0,16,1,1,2,4,3,3,0,7,5,1,1,0
39,1,15,0,1,4,3,2,3,0,2,5,1,1,0
40,1,15,0,1,4,3,1,1,0,8,2,1,1,0
41,1,16,1,0,3,3,3,2,1,25,3,1,2,0
42,0,15,1,0,5,4,3,1,0,8,5,2,4,1
43,0,15,0,1,4,3,3,2,0,2,5,1,1,0
44,0,15,0,1,5,4,1,1,0,0,1,1,1,0
45,1,16,0,0,4,3,3,2,1,14,5,2,2,1
46,1,15,1,0,5,2,2,2,0,8,5,1,1,0
47,1,16,0,0,2,3,5,2,0,12,3,1,4,1
48,0,16,0,1,4,2,2,4,0,4,2,1,1,0
49,0,15,0,1,4,3,3,2,0,2,5,2,2,1
50,1,15,0,1,4,4,4,2,1,2,3,1,1,0
51,1,16,0,0,4,3,3,2,0,2,4,2,3,1
52,1,15,0,0,4,3,3,2,0,2,5,1,1,0
53,0,15,0,0,5,5,5,1,1,6,5,3,4,1
54,1,15,0,1,3,3,4,1,0,0,5,2,3,1
55,1,15,0,0,5,3,4,1,0,6,1,4,4,1
56,1,16,1,1,5,3,4,2,0,8,2,1,1,0
57,1,15,0,1,4,3,2,2,0,0,1,1,1,0
58,0,15,0,1,3,2,2,2,0,4,5,1,1,0
59,0,15,0,0,4,3,2,2,0,2,5,1,1,0
60,1,16,0,1,4,2,3,2,0,2,5,1,1,0
61,1,16,0,1,2,4,4,2,0,6,4,2,3,1
62,1,16,1,1,5,5,5,1,0,6,5,5,5,1
63,1,16,0,0,4,4,3,2,0,4,1,1,1,0
64,1,16,0,1,3,4,4,3,0,2,4,2,4,1
65,1,15,1,0,4,4,4,2,0,0,2,2,4,1
66,1,16,0,0,5,4,3,2,0,2,1,1,2,0
67,0,15,1,1,1,3,3,4,0,4,3,5,5,1
68,1,16,0,1,4,3,3,4,0,4,5,1,2,0
69,1,15,0,0,4,1,3,2,0,2,4,1,3,1
70,1,15,0,0,4,4,2,4,0,12,3,2,3,1
71,0,16,0,1,4,3,2,4,0,0,5,1,1,0
72,0,15,0,1,3,3,3,4,0,0,3,1,1,0
73,1,15,1,1,3,3,4,2,2,2,5,2,4,1
74,0,16,0,1,5,3,2,1,0,2,5,2,2,1
75,1,16,0,1,4,3,3,2,0,54,5,2,4,1
76,0,15,0,1,4,3,3,2,0,6,5,2,3,1
77,0,15,0,1,3,4,3,4,0,8,1,1,1,0
78,1,16,1,1,5,2,3,4,0,0,3,1,3,1
79,0,17,0,1,4,5,1,1,3,2,3,1,1,0
80,1,16,0,1,2,4,3,2,0,12,3,1,2,0
81,0,15,1,1,3,2,2,1,0,2,3,1,3,1
82,0,15,0,1,5,3,2,3,0,4,5,1,2,0
83,1,15,0,0,4,4,4,2,0,10,5,1,1,0
84,0,15,0,0,5,3,3,2,0,4,4,1,3,1
85,1,15,0,1,4,3,2,2,0,2,4,2,3,1
86,1,15,1,1,4,4,4,2,2,6,5,2,3,1
87,1,16,0,0,4,3,4,2,0,4,2,1,2,0
88,1,15,0,1,5,3,3,3,0,4,1,1,3,1
89,0,16,0,1,4,4,2,2,1,12,3,1,1,0
90,0,16,0,0,4,1,3,2,0,18,5,3,5,1
91,1,16,1,1,4,3,3,3,0,0,4,1,3,1
92,1,15,0,1,4,5,5,1,0,4,1,1,3,1
93,1,16,0,0,3,3,3,2,0,4,2,2,3,1
94,1,16,0,1,5,3,3,2,0,0,1,1,1,0
95,0,15,0,0,4,3,4,4,0,6,4,1,1,0
96,1,15,0,1,3,1,2,4,1,2,1,1,1,0
97,0,16,0,1,3,3,3,1,0,2,4,1,1,0
98,1,16,1,1,4,3,5,2,0,2,5,1,1,0
99,1,16,0,1,5,3,4,1,0,6,1,1,2,0
100,1,16,0,1,5,3,5,3,0,0,3,1,1,0
101,0,16,0,1,4,5,5,1,0,14,4,5,5,1
102,0,16,1,1,4,4,3,3,0,0,4,1,1,0
103,0,15,0,1,5,3,3,1,0,4,5,1,1,0
104,1,15,0,1,4,3,5,2,0,26,2,1,1,0
105,0,15,0,1,5,4,4,2,0,0,1,1,1,0
106,1,15,0,1,4,3,3,4,0,10,4,1,1,0
107,1,15,0,1,5,1,2,4,0,8,3,1,1,0
108,0,16,0,1,5,3,3,3,0,2,5,1,1,0
109,0,15,1,1,1,3,5,4,0,6,1,3,5,1
110,1,16,1,0,5,4,5,3,0,4,4,1,1,0
111,0,15,0,0,5,5,3,1,0,6,4,1,1,0
112,1,16,0,1,4,1,2,3,1,0,2,1,1,0
113,1,16,0,1,3,1,2,2,1,6,5,1,1,0
114,0,15,0,0,3,5,2,1,0,10,3,1,1,0
115,0,15,1,1,5,4,2,2,0,8,5,1,1,0
116,0,16,0,1,5,4,4,2,0,2,5,1,2,0
117,0,15,0,1,4,4,3,2,0,2,2,1,1,0
118,0,16,0,1,5,4,2,1,0,0,5,1,1,0
119,0,17,0,1,5,2,4,2,1,20,5,1,4,1
120,0,15,0,1,3,4,3,1,0,6,4,1,2,0
121,1,15,0,1,3,2,3,2,0,2,1,1,2,0
122,0,15,0,1,5,5,4,4,0,6,5,1,2,0
123,1,16,1,0,4,2,2,2,0,2,5,1,2,0
124,0,16,0,1,3,4,4,1,0,18,5,1,4,1
125,1,16,1,1,5,4,4,2,0,0,5,1,1,0
126,0,15,0,1,5,5,5,1,0,0,5,3,2,1
127,1,15,1,0,5,3,2,2,0,0,1,1,1,0
128,1,19,0,1,3,4,2,2,3,2,5,1,1,0
129,0,18,0,1,3,3,3,1,2,0,4,1,2,0
130,0,16,0,1,3,5,5,1,0,8,4,2,5,1
131,1,15,1,1,4,2,2,3,2,0,5,2,2,1
132,1,15,1,1,4,3,3,1,0,0,4,1,2,0
133,1,17,1,0,3,4,4,1,0,12,5,1,3,1
134,1,16,0,1,3,2,1,1,0,16,5,1,4,1
135,0,15,1,1,5,3,3,2,0,0,5,1,1,0
136,1,15,1,1,4,3,3,3,0,0,5,1,1,0
137,0,17,0,1,5,4,5,2,0,0,5,2,4,1
138,1,16,1,1,4,3,2,1,2,0,5,1,1,0
139,0,16,1,0,4,4,4,2,1,0,5,1,3,1
140,1,15,0,1,4,3,2,1,0,0,5,1,1,0
141,0,15,0,1,2,2,2,4,0,0,3,1,1,0
142,0,16,0,0,2,3,3,1,2,8,2,2,2,1
143,1,15,0,1,4,2,2,3,0,2,5,1,1,0
144,1,16,0,0,3,4,4,1,0,2,1,3,3,1
145,0,17,0,1,5,4,5,1,3,0,5,1,2,0
146,1,15,0,1,4,4,2,2,0,0,5,1,2,0
147,1,15,0,1,3,3,2,2,3,0,3,1,1,0
148,1,15,0,1,4,3,2,2,0,2,5,1,1,0
149,0,16,1,1,3,3,2,1,0,0,5,2,1,0
150,0,15,0,0,4,5,5,1,3,0,5,2,5,1
151,0,18,1,0,2,3,5,1,3,0,4,2,5,1
152,0,16,1,0,4,4,4,1,1,6,5,3,5,1
153,1,15,1,1,4,2,1,3,2,8,3,2,3,1
154,0,19,1,1,4,5,4,1,3,0,4,1,1,0
155,1,17,1,1,4,2,1,1,0,0,4,1,1,0
156,0,15,0,1,4,4,4,2,0,2,1,1,1,0
157,0,17,0,0,2,2,2,1,0,8,5,3,3,1
158,1,18,0,1,5,2,5,1,3,6,4,1,5,1
159,0,16,0,1,4,2,2,1,0,2,3,1,2,0
160,0,16,1,1,4,5,5,2,1,4,5,4,4,1
161,0,17,1,0,3,3,2,1,2,0,5,2,2,1
162,0,15,1,1,4,4,4,2,2,6,3,1,4,1
163,0,16,0,0,4,4,4,1,1,0,5,2,4,1
164,0,17,0,1,5,3,3,1,0,2,2,1,4,1
165,0,17,1,0,5,3,5,2,3,0,5,1,5,1
166,0,16,0,1,4,5,2,1,1,16,2,1,1,0
167,0,16,0,1,4,3,5,2,0,4,4,2,4,1
