school,gender,age,study time,significant other,free time,social activities,weekday drinker,weekend drinker,health,totaldrinks,drinker,id
GP,F,18,2,no,3,4,1,1,3,2,0,1
GP,F,17,2,no,3,3,1,1,3,2,0,2
GP,F,15,2,no,3,2,2,3,3,5,1,3
GP,F,15,3,yes,2,2,1,1,5,2,0,4
GP,F,16,2,no,3,2,1,2,5,3,0,5
GP,M,16,2,no,4,2,1,2,5,3,0,6
GP,M,16,2,no,4,4,1,1,3,2,0,7
GP,F,17,2,no,1,4,1,1,1,2,0,8
GP,M,15,2,no,2,2,1,1,1,2,0,9
GP,M,15,2,no,5,1,1,1,5,2,0,10
GP,F,15,2,no,3,3,1,2,2,3,0,11
GP,F,15,3,no,2,2,1,1,4,2,0,12
GP,M,15,1,no,3,3,1,3,5,4,0,13
GP,M,15,2,no,4,3,1,2,3,3,0,14
GP,M,15,3,yes,5,2,1,1,3,2,0,15
GP,F,16,1,no,4,4,1,2,2,3,0,16
GP,F,16,3,no,2,3,1,2,2,3,0,17
GP,F,16,2,no,3,2,1,1,4,2,0,18
GP,M,17,1,no,5,5,2,4,5,6,1,19
GP,M,16,1,no,1,3,1,3,5,4,0,20
GP,M,15,2,no,4,1,1,1,1,2,0,21
GP,M,15,1,no,4,2,1,1,5,2,0,22
GP,M,16,2,no,5,1,1,3,5,4,0,23
GP,M,16,2,no,4,4,2,4,5,6,1,24
GP,F,15,3,no,3,2,1,1,5,2,0,25
GP,F,16,1,no,2,2,1,3,5,4,0,26
GP,M,15,1,no,2,2,1,2,5,3,0,27
GP,M,15,1,no,2,4,2,4,1,6,1,28
GP,M,16,2,no,3,3,1,1,5,2,0,29
GP,M,16,2,yes,4,5,5,5,5,10,1,30
GP,M,15,2,no,4,2,3,4,5,7,1,31
GP,M,15,2,no,3,1,1,1,5,2,0,32
GP,M,15,2,yes,5,2,1,1,5,2,0,33
GP,M,15,2,no,3,2,1,1,2,2,0,34
GP,M,16,1,no,4,3,1,1,5,2,0,35
GP,F,15,1,no,5,1,1,1,5,2,0,36
GP,M,15,3,no,4,3,1,1,4,2,0,37
GP,M,16,3,yes,4,3,1,1,5,2,0,38
GP,F,15,3,no,3,2,1,1,5,2,0,39
GP,F,15,1,no,3,1,1,1,2,2,0,40
GP,F,16,2,yes,3,3,1,2,3,3,0,41
GP,M,15,1,yes,4,3,2,4,5,6,1,42
GP,M,15,2,no,3,3,1,1,5,2,0,43
GP,M,15,1,no,4,1,1,1,1,2,0,44
GP,F,16,2,no,3,3,2,2,5,4,0,45
GP,F,15,2,yes,2,2,1,1,5,2,0,46
GP,F,16,2,no,3,5,1,4,3,5,1,47
GP,M,16,4,no,2,2,1,1,2,2,0,48
GP,M,15,2,no,3,3,2,2,5,4,0,49
GP,F,15,2,no,4,4,1,1,3,2,0,50
GP,F,16,2,no,3,3,2,3,4,5,1,51
GP,F,15,2,no,3,3,1,1,5,2,0,52
GP,M,15,1,no,5,5,3,4,5,7,1,53
GP,F,15,1,no,3,4,2,3,5,5,1,54
GP,F,15,1,no,3,4,4,4,1,8,1,55
GP,F,16,2,yes,3,4,1,1,2,2,0,56
GP,F,15,2,no,3,2,1,1,1,2,0,57
GP,M,15,2,no,2,2,1,1,5,2,0,58
GP,M,15,2,no,3,2,1,1,5,2,0,59
GP,F,16,2,no,2,3,1,1,5,2,0,60
GP,F,16,2,no,4,4,2,3,4,5,1,61
GP,F,16,1,yes,5,5,5,5,5,10,1,62
GP,F,16,2,no,4,3,1,1,1,2,0,63
GP,F,16,3,no,4,4,2,4,4,6,1,64
GP,F,15,2,yes,4,4,2,4,2,6,1,65
GP,F,16,2,no,4,3,1,2,1,3,0,66
GP,M,15,4,yes,3,3,5,5,3,10,1,67
GP,F,16,4,no,3,3,1,2,5,3,0,68
GP,F,15,2,no,1,3,1,3,4,4,0,69
GP,F,15,4,no,4,2,2,3,3,5,1,70
GP,M,16,4,no,3,2,1,1,5,2,0,71
GP,M,15,4,no,3,3,1,1,3,2,0,72
GP,F,15,2,yes,3,4,2,4,5,6,1,73
GP,M,16,1,no,3,2,2,2,5,4,0,74
GP,F,16,2,no,3,3,2,4,5,6,1,75
GP,M,15,2,no,3,3,2,3,5,5,1,76
GP,M,15,4,no,4,3,1,1,1,2,0,77
GP,F,16,4,yes,2,3,1,3,3,4,0,78
GP,M,17,1,no,5,1,1,1,3,2,0,79
GP,F,16,2,no,4,3,1,2,3,3,0,80
GP,M,15,1,yes,2,2,1,3,3,4,0,81
GP,M,15,3,no,3,2,1,2,5,3,0,82
GP,F,15,2,no,4,4,1,1,5,2,0,83
GP,M,15,2,no,3,3,1,3,4,4,0,84
GP,F,15,2,no,3,2,2,3,4,5,1,85
GP,F,15,2,yes,4,4,2,3,5,5,1,86
GP,F,16,2,no,3,4,1,2,2,3,0,87
GP,F,15,3,no,3,3,1,3,1,4,0,88
GP,M,16,2,no,4,2,1,1,3,2,0,89
GP,M,16,2,no,1,3,3,5,5,8,1,90
GP,F,16,3,yes,3,3,1,3,4,4,0,91
GP,F,15,1,no,5,5,1,3,1,4,0,92
GP,F,16,2,no,3,3,2,3,2,5,1,93
GP,F,16,2,no,3,3,1,1,1,2,0,94
GP,M,15,4,no,3,4,1,1,4,2,0,95
GP,F,15,4,no,1,2,1,1,1,2,0,96
GP,M,16,1,no,3,3,1,1,4,2,0,97
GP,F,16,2,yes,3,5,1,1,5,2,0,98
GP,F,16,1,no,3,4,1,2,1,3,0,99
GP,F,16,3,no,3,5,1,1,3,2,0,100
GP,M,16,1,no,5,5,5,5,4,10,1,101
GP,M,16,3,yes,4,3,1,1,4,2,0,102
GP,M,15,1,no,3,3,1,1,5,2,0,103
GP,F,15,2,no,3,5,1,1,2,2,0,104
